Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
MTNN,MTN Nigeria Communications Plc,780,NGN,4,7169766,1.382002083286751,15746670410156,NGN,18.914868541663633,41.2374,NGN,,0.666666666666667,Communications,Strong buy
BUAFOODS,BUA Foods PLC,845,NGN,0,298772,0.6019215345521842,15210000000000,NGN,,,,,1.53846153846154,Process industries,Sell
DANGCEM,Dangote Cement PLC,799.9,NGN,0,953260,0.6145132155538899,13266505946904,NGN,14.029936611837835,57.0138,NGN,111.50846942031029,3.75046880860108,Non-energy minerals,Buy
BUACEMENT,BUA Cement Plc,205,NGN,0.9852216748768473,359462,0.1569861962446679,6874464160156,NGN,22.053207396968492,9.2957,NGN,643.1209529139021,1.00985221674877,Non-energy minerals,Sell
ARADEL,Aradel Holdings Plc,1094,NGN,0,1371973,0.37557972021223957,4753260130859,NGN,11.94484842926335,91.5876,NGN,54.31517581843608,2.92504570383912,Energy minerals,Strong buy
GTCO,Guaranty Trust Holding Company Plc,117.2,NGN,0.17094017094017336,5569578,0.16184199936890203,4237124957035.0005,NGN,6.493938252177576,18.0476,NGN,-58.15476218078619,6.92539887882708,Finance,Strong buy
ZENITHBANK,Zenith Bank PLC,85.2,NGN,0.23529411764706218,7253465,0.13763182848475006,3437544815680,NGN,3.391773754359146,25.1196,NGN,-26.058365369331398,6.27240143369176,Finance,Strong buy
WAPCO,Lafarge Africa Plc,194,NGN,2.1052631578947367,2554955,0.2518065392363187,3060481035156,NGN,12.468347108500328,15.5594,NGN,262.5209692451072,2.73684210526316,Non-energy minerals,Strong buy
GEREGU,Geregu Power Plc,1141.5,NGN,0,3146,0.011371979024373844,2853750000000,NGN,104.72284912203446,10.9002,NGN,-0.6362807657247106,0.744634253175646,Utilities,No rating
PRESCO,Presco PLC,2315.4,NGN,7.194444444444449,962764,0.5848139495612517,2519999912109,NGN,17.33273246926685,133.5854,NGN,76.63227514276912,2.39616481481482,Consumer non-durables,Buy
INTBREW,International Breweries PLC,14.95,NGN,0,724770,0.09366494543312928,2490715388349,NGN,,,,,0,Consumer non-durables,Sell
NB,Nigerian Breweries PLC,81,NGN,1.25,530208,0.0480035744106421,2478642031250,NGN,25.32437079881194,3.1985,NGN,,0,Consumer non-durables,Strong buy
TRANSPOWER,Transcorp Power PLC,306.9,NGN,0,1529942,2.2160572616141736,2301749954224,NGN,25.286731263595016,12.1368,NGN,18.59292554230994,1.62919517758227,Utilities,No rating
NESTLE,Nestle Nigeria Plc,2900,NGN,0,45397,0.12570520016414752,2298703125000,NGN,24.943103919851787,116.2646,NGN,,0,Consumer non-durables,Buy
FIRSTHOLDCO,First HoldCo Plc,52,NGN,0,3619237,0.13688250964284343,2167117456055,NGN,35.306898424769145,1.4728,NGN,-92.75318106222385,1.23076923076923,Finance,Buy
UBA,United Bank for Africa PLC,48.55,NGN,1.1458333333333273,1067197,0.049629500922298904,2077220261719,NGN,2.32510248649477,20.8808,NGN,8.553455849860947,6.9103829787234,Finance,Strong buy
TRANSCOHOT,Transcorp Hotels PLC,189.7,NGN,0,18509,0.15724451271107245,1943007591106,NGN,88.83997564745,2.1353,NGN,46.35366689513364,0.390089615181866,Consumer services,No rating
STANBIC,Stanbic IBTC Holdings Plc,128.9,NGN,9.515717926932881,981374,1.6800065873615548,1871638110358,NGN,5.255625639624727,24.5261,NGN,62.62913599893907,4.67289719626168,Finance,Neutral
ACCESSCORP,Access Holdings Plc,26,NGN,0,3138294,0.046297255063352805,1305286328125,NGN,1.8647082448792245,13.9432,NGN,-39.52752080703991,1.882,Finance,Strong buy
OKOMUOIL,Okomu Oil Palm Co. Plc,1459.7,NGN,10.000000000000004,184045,0.5985176002450721,1265838534363,NGN,,,,,4.97362471740769,Process industries,Buy
WEMABANK,Wema Bank PLC,26.95,NGN,0.18587360594795804,2369777,0.1690102752654806,1083209625000,NGN,,,,,3.7037037037037,Finance,No rating
ETI,"Ecobank Transnational, Inc.",46.45,NGN,3.2222222222222285,613947,0.1877042721328097,1061707851562.0001,NGN,,,,,0,Finance,Strong buy
FIDELITYBK,Fidelity Bank PLC,20.2,NGN,-1.2224938875305624,10740276,0.4372333535372832,1026839751981,NGN,3.945929051414283,5.1192,NGN,-39.595747442447696,10.2689486552567,Finance,Buy
DANGSUGAR,Dangote Sugar Refinery PLC,82,NGN,0,950887,0.10798800180001392,1013049637871,NGN,,-1.548,NGN,91.86269613898598,0,Process industries,Neutral
GUINNESS,Guinness Nigeria PLC,350,NGN,9.375,1858224,4.403337887008046,700922500000,NGN,27.936528207911625,12.5284,NGN,,0,Consumer non-durables,Neutral
OANDO,Oando PLC,42,NGN,0,1251913,0.06796264956187754,539523304516,NGN,2.0059509879308615,20.9377,NGN,368.6985136103152,0,Energy minerals,No rating
FCMB,FCMB Group Plc,12,NGN,-2.439024390243908,2139389,0.0069754545943500265,526092004641.99994,NGN,2.932909690822437,4.0915,NGN,9.503800449630653,4.47154471544715,Finance,Strong buy
TRANSCORP,Transnational Corporation of Nigeria PLC,53,NGN,1.9230769230769231,658546,0.14106891968163193,518261900391,NGN,8.837752209438053,5.997,NGN,15.322487596630904,1.96078431372549,Utilities,Strong buy
UNILEVER,Unilever Nigeria PLC,90,NGN,0,6422963,3.5500083430927343,517050483398,NGN,16.834387041262953,5.3462,NGN,93.0593673263036,1.94444444444444,Consumer non-durables,Strong buy
JAIZBANK,Jaiz Bank PLC,11,NGN,10,7118369,0.4305745610779092,465149374343,NGN,15.856998702609198,0.6937,NGN,-2.433192686357241,1.4014014014014,Finance,No rating
STERLINGNG,Sterling Financial Holdings Company Limited,8.1,NGN,0,3557375,0.17276619124386292,416936093750,NGN,,,,,2.25,Finance,No rating
JBERGER,Julius Berger Nigeria Plc,260,NGN,2.766798418972332,808132,0.9695881015458445,404800000000,NGN,13.511476960333422,19.2429,NGN,102.32895580766925,1.28458498023715,Industrial services,Neutral
NASCON,NASCON Allied Industries Plc,164.95,NGN,7.110389610389603,379688,0.08283642452554907,391851950684,NGN,14.400453970055436,11.4545,NGN,165.10750572823844,1.37931034482759,Consumer non-durables,No rating
UCAP,United Capital Plc,19.2,NGN,-1.538461538461542,1724241,0.1053962231004421,351000000000,NGN,11.798684938241259,1.6273,NGN,-17.328794960373905,4.1025641025641,Finance,No rating
CUSTODIAN,Custodian Investment Plc,63.9,NGN,9.417808219178083,1529620,0.3100853390483217,343500853116,NGN,4.368245113923012,14.6283,NGN,64.5774267584717,2.31164383561644,Finance,No rating
MECURE,Mecure Industries PLC,84.25,NGN,0,271561,2.7130570133504373,337000000000,NGN,64.44087501912193,1.3074,NGN,110.46361880231808,0.178041543026706,Health technology,No rating
NAHCO,Nigerian Aviation Handling Co. Plc,170,NGN,0,2586793,0.8096154203673724,331340625000,NGN,18.418999739967063,9.2296,NGN,39.831830921899844,3.49411764705882,Transportation,No rating
BETAGLAS,Beta Glass Plc.,498.5,NGN,0,455902,1.220840150709766,299083235260,NGN,8.938673705237148,55.7689,NGN,145.54060063312596,0.591775325977934,Process industries,No rating
UACN,UAC of Nigeria PLC,108.9,NGN,10.000000000000005,780528,0.301703401522944,281786504731,NGN,371.92622950819674,0.2928,NGN,-94.31897555296858,0.228452751817238,Consumer non-durables,Strong buy
NGXGROUP,Nigerian Exchange Group PLC,122,NGN,0,8032218,2.759995175637381,268963654296.99997,NGN,18.625954198473284,6.55,NGN,56.32458233890213,2.45901639344262,Finance,Strong buy
PZ,PZ Cussons Nigeria PLC,73.95,NGN,8.750000000000004,1199650,0.11265788561531641,260264782796,NGN,8.948234553858812,8.2642,NGN,,0,Consumer non-durables,Neutral
TOTAL,TotalEnergies Marketing Nigeria Plc,640,NGN,0,9337,1.283842314408679,217293964844,NGN,,-50.5949,NGN,-161.74499674768768,6.25,Retail trade,Strong sell
FIDSON,Fidson Healthcare Ltd.,85,NGN,7.59493670886076,505219,0.3966470920470853,215155902100,NGN,21.53043390156792,3.9479,NGN,60.79094204374213,1.3,Health technology,No rating
ETRANZACT,eTranzact International Plc,22.9,NGN,0,3230826,1.495484905967542,210679996490,NGN,,,,,0.54585152838428,Commercial services,No rating
HONYFLOUR,Honeywell Flour Mills Plc,23.6,NGN,2.1645021645021645,6665375,1.5285791760382907,183187559861,NGN,15.540629527196103,1.5186,NGN,53.20823244552058,0,Process industries,No rating
VITAFOAM,Vitafoam Nigeria Plc,124.9,NGN,1.4622258326563862,413466,0.06542817038315107,175393345421,NGN,14.491408416387243,8.6189,NGN,1228.0277349768876,0.748823277706461,Process industries,Strong buy
SKYAVN,Skyway Aviation Handling Co. Plc,140.95,NGN,9.51825951825952,830060,0.992444575379206,174205736213,NGN,17.49779648181942,8.0553,NGN,102.2318738702551,0.466200466200466,Transportation,No rating
NEM,NEM Insurance Plc,34.7,NGN,0.7256894049346879,1491067,1.2756105160335582,172817671869,NGN,,,,,2.90275761973875,Finance,No rating
CADBURY,Cadbury Nigeria PLC,66,NGN,-6.382978723404255,1475409,0.5264553060583524,160760051880,NGN,,,,,0,Consumer non-durables,Strong buy
ABBEYBDS,Abbey Mortgage Bank Plc,11.4,NGN,5.555555555555552,3062423,0.9880690844300691,156659350032,NGN,15.758916228918993,0.7234,NGN,518.2905982905983,0.555555555555555,Finance,No rating
AIICO,Aiico Insurance PLC,4.28,NGN,3.6319612590799117,3194280,0.13985890165603207,151179799619,NGN,8.853951179147705,0.4834,NGN,29.147742452578136,1.69491525423729,Finance,No rating
MANSARD,AXA Mansard Insurance PLC,15.7,NGN,-7.917888563049861,4294459,1.2092794591116849,150427347956,NGN,26.101413133832082,0.6015,NGN,-78.60724828395632,2.63929618768328,Finance,No rating
CHAMPION,Champion Breweries PLC,16.8,NGN,1.8181818181818226,370275,0.11224353817944503,146747132524,NGN,52.91338582677165,0.3175,NGN,433.6134453781513,0.365853658536585,Consumer non-durables,No rating
CONOIL,Conoil PLC,169,NGN,0,14553,0.34977791878172587,117277913086,NGN,58.45930333114256,2.8909,NGN,-81.07826838240106,2.07100591715976,Distribution services,Strong sell
CORNERST,Cornerstone Insurance PLC,5.6,NGN,-9.677419354838717,2082008,0.9294904304818831,111906969214,NGN,11.630321910695741,0.4815,NGN,-65.46158812136862,4.35483870967742,Finance,No rating
VFDGROUP,VFD Group PLC,13.8,NGN,0,2085912,0.5924089109443181,104895108676,NGN,15.67469332121763,0.8804,NGN,18.876586551444763,2.71289855072464,Finance,No rating
UPDC,UPDC Plc,5.3,NGN,1.9230769230769162,423424,0.10936331994789084,102079838867,NGN,82.42612752721618,0.0643,NGN,175.96566523605145,0.181818181818182,Finance,No rating
IKEJAHOTEL,Ikeja Hotel PLC,41.9,NGN,0,815801,0.5583667020567691,90603208915,NGN,,,,,0.572792362768496,Consumer services,No rating
MBENEFIT,Mutual Benefits Assurance PLC,5.42,NGN,9.939148073022318,35052485,1.1556403621520794,90074429119,NGN,5.431950290639406,0.9978,NGN,86.8889305113317,0.44543429844098,Finance,No rating
CAP,Chemical & Allied Products Plc,100.05,NGN,0,120985,0.2480740098569358,81515489617,NGN,13.337510331404804,7.5014,NGN,54.226032607578276,2.39880059970015,Process industries,No rating
WAPIC,Coronation Insurance Plc,3.35,NGN,4.3613707165109075,4189937,1.362812882880149,77013292712,NGN,,,,,0,Finance,No rating
ETERNA,Eterna PLC,32,NGN,0,455764,0.45571833702263026,73032093750,NGN,19.916599240679655,1.6067,NGN,,0,Energy minerals,Strong sell
